seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,11,0,200000,1,2,filtered_set,62.490415,200000,200000,200000
1,20000,200000,11,0,200000,2,0,filtered_set,62.014375,200000,200000,200000
1,20000,200000,11,0,200000,2,1,set,18.85917,200000,200000,200000
1,20000,200000,11,0,200000,2,2,bloom,37.397295,200000,200000,0
1,20000,200000,11,0,200000,3,0,filtered_set,72.305,200000,200000,200000
1,20000,200000,11,0,200000,3,1,set,19.471875,200000,200000,200000
1,20000,200000,11,0,200000,3,2,bloom,38.19958,200000,200000,0
1,20000,200000,11,0,200000,4,0,filtered_set,63.98354,200000,200000,200000
1,20000,200000,11,0,200000,4,1,bloom,43.892085,200000,200000,0
1,20000,200000,11,0,200000,4,2,set,21.643335,200000,200000,200000
1,20000,200000,11,0,200000,5,0,bloom,46.999795,200000,200000,0
1,20000,200000,11,0,200000,5,1,set,34.53125,200000,200000,200000
1,20000,200000,11,0,200000,5,2,filtered_set,85.223955,200000,200000,200000
1,20000,200000,11,0,200000,6,0,filtered_set,62.399585,200000,200000,200000
1,20000,200000,11,0,200000,6,1,bloom,37.662085,200000,200000,0
1,20000,200000,11,0,200000,6,2,set,18.983545,200000,200000,200000
1,20000,200000,11,0.5,200000,0,0,bloom,39.31021,101197,100000,0
1,20000,200000,11,0.5,200000,0,1,filtered_set,52.28979,100000,100000,101197
1,20000,200000,11,0.5,200000,0,2,set,33.65396,100000,100000,200000
1,20000,200000,11,0.5,200000,1,0,bloom,39.994165,101197,100000,0
1,20000,200000,11,0.5,200000,1,1,filtered_set,54.26667,100000,100000,101197
1,20000,200000,11,0.5,200000,1,2,set,32.96917,100000,100000,200000
1,20000,200000,11,0.5,200000,2,0,bloom,38.73,101197,100000,0
1,20000,200000,11,0.5,200000,2,1,filtered_set,52.461875,100000,100000,101197
1,20000,200000,11,0.5,200000,2,2,set,33.215,100000,100000,200000
1,20000,200000,11,0.5,200000,3,0,filtered_set,51.674375,100000,100000,101197
1,20000,200000,11,0.5,200000,3,1,set,33.50875,100000,100000,200000
1,20000,200000,11,0.5,200000,3,2,bloom,38.833545,101197,100000,0
1,20000,200000,11,0.5,200000,4,0,set,33.06292,100000,100000,200000
1,20000,200000,11,0.5,200000,4,1,bloom,38.379585,101197,100000,0
1,20000,200000,11,0.5,200000,4,2,filtered_set,52.794375,100000,100000,101197
1,20000,200000,11,0.5,200000,5,0,bloom,38.613955,101197,100000,0
1,20000,200000,11,0.5,200000,5,1,filtered_set,52.23354,100000,100000,101197
1,20000,200000,11,0.5,200000,5,2,set,32.865,100000,100000,200000
1,20000,200000,11,0.5,200000,6,0,filtered_set,52.46146,100000,100000,101197
1,20000,200000,11,0.5,200000,6,1,bloom,38.11917,101197,100000,0
1,20000,200000,11,0.5,200000,6,2,set,33.45375,100000,100000,200000
